seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
1,A,conflict_id,1080,12051,51798,1.0,1725.9,9,11,0,0,0,47,0,0,7,28,28,33,5,77050.0,1590.0,24280.0,3.034,3482661.2,14687
1,B,conflict_id,1080,12632,37616,1.333,2474.4,9,11,0,0,0,105,0,0,5,39,39,0,5,71120.0,0.0,34010.0,7.308,14518123.2,20131
2,A,conflict_id,1080,14110,42637,1.667,320.9,9,9,0,0,0,46,0,0,4,25,25,28,1,62200.0,3320.0,24610.0,1.983,1251271.7,14763
2,B,conflict_id,1080,12395,37334,1.333,2329.0,9,9,0,0,0,106,0,0,4,39,39,0,1,70720.0,0.0,33620.0,7.323,14421060.5,15141
3,A,conflict_id,1080,8241,46755,1.333,654.4,9,6,0,0,0,46,0,0,1,35,35,37,1,71730.0,14400.0,22690.0,2.419,832383.6,14701
3,B,conflict_id,1080,12071,36916,1.333,1295.6,9,6,0,0,0,102,0,0,3,38,38,0,1,70760.0,0.0,33860.0,7.301,14493652.2,15144
4,A,conflict_id,1080,16972,46173,1.333,521.7,9,3,0,0,0,49,0,0,4,27,27,27,2,65820.0,5090.0,31740.0,3.151,3661571.4,14812
4,B,conflict_id,1080,12465,37110,1.333,8234.0,9,3,0,0,0,96,0,0,1,38,38,0,2,70870.0,0.0,33740.0,7.301,14340874.2,16048
5,A,conflict_id,1080,9049,41624,2.0,327.3,9,3,0,0,0,66,0,0,11,29,29,27,1,61820.0,2630.0,23630.0,2.507,4539699.7,14709
5,B,conflict_id,1080,12345,37700,1.333,1372.7,9,3,0,0,0,99,0,0,3,39,39,0,1,70650.0,0.0,33780.0,7.307,14541029.8,15827
6,A,conflict_id,1080,9757,42949,1.667,2837.7,9,12,0,0,0,110,0,0,18,48,48,41,4,74910.0,6330.0,30550.0,4.639,5293273.0,14945
6,B,conflict_id,1080,12591,37293,1.333,2707.6,9,12,0,0,0,106,0,0,1,40,40,0,4,71310.0,0.0,33910.0,7.311,14536031.3,21524
7,A,conflict_id,1080,15221,38697,1.333,510.7,9,4,0,0,0,111,0,0,1,42,42,24,6,72070.0,3300.0,36590.0,5.766,7315597.4,15142
7,B,conflict_id,1080,12167,36911,1.333,885.0,9,4,0,0,0,96,0,0,5,38,38,0,6,70930.0,0.0,33850.0,7.3,14446708.2,15486
8,A,conflict_id,1080,13108,42351,1.667,974.6,9,6,0,0,0,46,0,0,6,23,23,26,13,64980.0,4700.0,25850.0,2.934,3019872.9,14687
8,B,conflict_id,1080,12285,36562,1.333,1236.6,9,6,0,0,0,107,0,0,2,39,39,0,13,71040.0,0.0,33940.0,7.302,14681779.3,15146
9,A,conflict_id,1080,17066,44444,1.0,1453.0,9,8,0,0,5,72,0,0,16,29,29,27,3,70040.0,3850.0,29740.0,4.856,5849415.7,14917
9,B,conflict_id,1080,12287,36318,1.333,3500.5,9,8,0,0,5,103,0,0,9,38,38,0,3,70630.0,0.0,33690.0,7.297,14459504.2,16406
10,A,conflict_id,1080,17183,48234,1.0,1413.7,9,13,0,0,0,102,0,0,2,45,45,40,5,75780.0,2760.0,32070.0,3.655,5081779.0,14976
10,B,conflict_id,1080,12519,37269,1.333,2166.7,9,13,0,0,0,106,0,0,4,38,38,0,5,71310.0,0.0,34030.0,7.326,14684405.3,15143
11,A,conflict_id,1080,13107,41337,1.667,1257.6,9,9,0,0,0,91,0,0,5,39,39,32,1,66880.0,4350.0,29650.0,2.907,3520306.1,14749
11,B,conflict_id,1080,12217,37655,1.333,2040.5,9,9,0,0,0,106,0,0,1,39,39,0,1,70970.0,0.0,33790.0,7.307,14575286.0,20702
12,A,conflict_id,1080,11975,41436,1.667,1973.1,9,13,0,0,0,69,0,0,5,35,35,38,2,59970.0,5420.0,24080.0,3.741,3744173.1,14559
12,B,conflict_id,1080,12182,37563,1.333,2900.1,10,13,0,0,0,113,0,0,5,41,41,0,2,71250.0,0.0,33980.0,7.354,14858893.6,17937
13,A,conflict_id,1080,10348,45954,1.667,1600.8,9,10,0,0,0,92,0,0,8,46,46,50,1,65550.0,8700.0,21010.0,3.201,4419981.7,14626
13,B,conflict_id,1080,12695,37392,1.333,1596.1,10,10,0,0,0,108,0,0,2,41,41,0,1,71030.0,0.0,34030.0,7.338,14818666.5,19157
14,A,conflict_id,1080,15338,48798,1.0,660.5,9,4,0,0,0,51,0,0,0,36,36,40,2,64990.0,11240.0,29600.0,3.453,2924165.5,14593
14,B,conflict_id,1080,12561,37309,1.333,2522.7,10,4,0,0,0,99,0,0,8,40,40,0,2,71280.0,0.0,34040.0,7.348,14839222.8,17937
15,A,conflict_id,1080,8288,47026,1.0,523.9,9,3,0,0,0,62,0,0,9,29,29,24,3,74850.0,12550.0,22950.0,3.094,4631417.9,15989
15,B,conflict_id,1080,11873,36211,1.333,910.4,9,3,0,0,0,101,0,0,1,39,39,0,3,70700.0,0.0,33680.0,7.297,14336642.8,16104
1,A,conflict_id,1080,12051,51798,1.0,1734.3,9,11,0,0,0,47,0,0,7,28,28,33,5,77050.0,1590.0,24280.0,3.034,3482661.2,14687
1,B,conflict_id,1080,12632,37616,1.333,2482.1,9,11,0,0,0,105,0,0,5,39,39,0,5,71120.0,0.0,34010.0,7.308,14521912.3,20167
2,A,conflict_id,1080,14110,42637,1.667,377.1,9,9,0,0,0,46,0,0,4,25,25,28,1,62200.0,3320.0,24610.0,1.983,1251271.7,14763
2,B,conflict_id,1080,12395,37334,1.333,2324.5,9,9,0,0,0,106,0,0,4,39,39,0,1,70720.0,0.0,33620.0,7.323,14421060.5,15141
3,A,conflict_id,1080,7656,43018,1.333,2461.6,9,7,0,0,0,56,0,0,3,30,30,43,1,66010.0,7690.0,22370.0,3.772,3425014.6,19046
3,B,conflict_id,1080,12071,36916,1.333,1367.8,9,6,0,0,0,102,0,0,3,38,38,0,1,70760.0,0.0,33860.0,7.301,14493652.2,15144
4,A,conflict_id,1080,16972,46173,1.333,345.8,9,3,0,0,0,49,0,0,4,27,27,27,2,65820.0,5090.0,31740.0,3.151,3661571.4,14812
4,B,conflict_id,1080,12465,37110,1.333,966.2,9,3,0,0,0,96,0,0,1,38,38,0,2,70870.0,0.0,33740.0,7.3,14341736.4,16048
5,A,conflict_id,1080,9049,41624,2.0,329.8,9,3,0,0,0,66,0,0,11,29,29,27,1,61820.0,2630.0,23630.0,2.507,4539699.7,14709
5,B,conflict_id,1080,12345,37700,1.333,1369.0,9,3,0,0,0,99,0,0,3,39,39,0,1,70650.0,0.0,33780.0,7.307,14541029.8,15827
6,A,conflict_id,1080,9757,42949,1.667,2700.8,9,12,0,0,0,110,0,0,18,48,48,41,4,74910.0,6330.0,30550.0,4.639,5293273.0,14945
6,B,conflict_id,1080,12591,37293,1.333,2701.6,9,12,0,0,0,106,0,0,1,40,40,0,4,71310.0,0.0,33910.0,7.311,14536016.5,21519
7,A,conflict_id,1080,15221,38697,1.333,638.5,9,4,0,0,0,111,0,0,1,42,42,24,6,72070.0,3300.0,36590.0,5.766,7315597.4,15142
7,B,conflict_id,1080,12167,36911,1.333,881.4,9,4,0,0,0,96,0,0,5,38,38,0,6,70930.0,0.0,33850.0,7.3,14446708.2,15486
8,A,conflict_id,1080,13108,42351,1.667,976.9,9,6,0,0,0,46,0,0,6,23,23,26,13,64980.0,4700.0,25850.0,2.934,3019872.9,14687
8,B,conflict_id,1080,12285,36562,1.333,1268.9,9,6,0,0,0,107,0,0,2,39,39,0,13,71040.0,0.0,33940.0,7.302,14681779.3,15146
9,A,conflict_id,1080,17066,44444,1.0,1453.1,9,8,0,0,5,72,0,0,16,29,29,27,3,70040.0,3850.0,29740.0,4.856,5850235.3,14917
9,B,conflict_id,1080,12287,36318,1.333,1820.5,9,8,0,0,5,103,0,0,9,38,38,0,3,70630.0,0.0,33690.0,7.297,14452075.2,15296
10,A,conflict_id,1080,17183,48234,1.0,1408.5,9,13,0,0,0,102,0,0,2,45,45,40,5,75780.0,2760.0,32070.0,3.655,5081779.0,14976
